frame_no,detection_no,class,x,y,width,height,confidence
1,1,person,1460,469,83,171,0.8196
1,2,person,1447,319,69,160,0.7946
1,3,person,259,435,67,174,0.7787
1,4,person,664,649,79,202,0.7720
1,5,person,1141,950,103,129,0.7463
1,6,person,1793,144,56,127,0.7451
1,7,person,750,450,72,169,0.7429
1,8,person,1200,126,54,139,0.6849
1,9,person,198,44,68,116,0.6117
1,10,person,709,242,54,143,0.6035
1,11,bird,1138,504,73,149,0.5948
1,12,person,88,128,56,124,0.5938
1,13,person,1091,46,42,101,0.5876
1,14,person,1674,11,52,128,0.5805
1,15,person,566,271,62,132,0.5667
1,16,person,892,93,38,117,0.5533
1,17,person,1615,16,39,110,0.5449
1,18,person,1163,151,50,128,0.5347
1,19,person,925,174,54,132,0.5329
1,20,person,31,792,105,196,0.5318
1,21,person,854,72,40,123,0.5230
1,22,person,1419,702,106,184,0.5166
1,23,person,798,75,45,127,0.5095
1,24,person,725,5,44,103,0.4830
1,25,bird,32,791,107,199,0.4786
1,26,person,1699,77,81,205,0.4378
1,27,person,340,2,64,135,0.4205
1,28,person,1580,19,40,103,0.3763
1,29,person,1581,15,55,109,0.3573
1,30,person,1719,76,61,126,0.3572
1,31,person,571,201,49,88,0.3482
1,32,person,343,493,52,148,0.3398
1,33,person,1897,98,21,102,0.3244
1,34,person,1298,9,45,100,0.3243
1,35,person,1850,709,69,137,0.2975
1,36,person,457,510,58,128,0.2737
1,37,person,983,100,54,131,0.2612
1,38,person,1592,16,60,109,0.2556
1,39,person,1685,151,79,134,0.2508
2,1,person,1139,941,102,138,0.8252
2,2,person,1451,321,68,161,0.7735
2,3,person,670,640,74,193,0.7642
2,4,person,1463,480,80,167,0.7428
2,5,person,255,442,70,166,0.7066
2,6,person,204,41,59,113,0.6951
2,7,person,755,444,68,158,0.6882
2,8,person,1794,146,56,128,0.6815
2,9,person,1201,119,54,140,0.6714
2,10,bird,1139,499,75,150,0.6347
2,11,person,1090,47,43,103,0.6117
2,12,person,35,797,104,194,0.6058
2,13,person,1408,706,113,182,0.5836
2,14,person,799,73,41,125,0.5733
2,15,person,88,128,56,124,0.5429
2,16,person,1164,150,48,127,0.5412
2,17,person,853,69,40,125,0.5386
2,18,person,925,180,55,135,0.5352
2,19,person,1615,17,39,111,0.5332
2,20,person,1675,10,52,130,0.5218
2,21,person,710,237,53,138,0.5171
2,22,person,892,83,42,121,0.5158
2,23,person,567,273,62,137,0.4818
2,24,person,358,5,49,129,0.4735
2,25,person,1687,162,72,130,0.4502
2,26,person,1725,77,59,99,0.4297
2,27,person,1301,9,43,98,0.4214
2,28,bird,35,796,108,195,0.3841
2,29,person,1850,707,69,195,0.3614
2,30,person,725,5,40,98,0.3585
2,31,person,344,493,55,146,0.3463
2,32,person,1584,19,39,101,0.3406
2,33,person,984,101,55,133,0.3315
2,34,person,457,509,58,129,0.3104
2,35,person,1898,102,21,98,0.2923
2,36,person,1585,15,51,106,0.2898
2,37,bird,1139,498,74,97,0.2760
2,38,person,572,202,48,91,0.2745
2,39,person,1851,708,67,136,0.2722
2,40,person,344,1,60,126,0.2595
2,41,person,1388,2,50,181,0.2559
3,1,bird,1136,496,79,148,0.8336
3,2,person,1136,936,106,143,0.7747
3,3,person,1452,323,68,162,0.7599
3,4,person,1467,479,81,167,0.7567
3,5,person,671,632,74,179,0.7528
3,6,person,207,37,59,116,0.7365
3,7,person,255,441,70,169,0.7296
3,8,person,1200,118,54,138,0.7075
3,9,person,756,440,67,148,0.6916
3,10,person,1795,149,56,126,0.6846
3,11,person,1091,47,43,104,0.6305
3,12,person,37,798,102,191,0.5971
3,13,person,799,73,42,125,0.5859
3,14,person,1616,16,38,111,0.5688
3,15,person,1166,147,45,130,0.5473
3,16,person,892,84,43,120,0.5435
3,17,person,89,128,55,123,0.5418
3,18,person,924,180,55,135,0.5380
3,19,person,1690,163,66,133,0.5361
3,20,person,852,69,40,124,0.5184
3,21,person,1675,10,53,128,0.5066
3,22,person,1408,705,109,182,0.4903
3,23,person,353,4,55,127,0.4779
3,24,person,710,233,53,137,0.4772
3,25,person,1300,9,43,99,0.4762
3,26,person,726,3,38,98,0.4544
3,27,person,1725,77,60,101,0.4482
3,28,bird,1137,496,77,98,0.4436
3,29,person,569,285,62,128,0.4062
3,30,person,344,494,54,137,0.3968
3,31,person,570,203,49,92,0.3713
3,32,person,983,100,55,136,0.3673
3,33,person,1585,20,38,100,0.3572
3,34,bird,37,798,106,192,0.3452
3,35,person,1897,102,21,98,0.3182
3,36,person,456,509,59,129,0.2861
3,37,person,155,0,35,49,0.2835
3,38,person,1851,708,67,138,0.2543
4,1,person,1470,480,78,167,0.8076
4,2,bird,1137,491,76,146,0.8045
4,3,person,1452,324,71,161,0.7993
4,4,person,1137,931,106,148,0.7962
4,5,person,672,629,74,181,0.7761
