frame_no,detection_no,class,x,y,width,height,confidence
1,1,person,665.5,649.9,78.2,202.0,0.8790
1,2,person,1408.3,705.1,114.0,184.0,0.8720
1,3,person,33.8,795.9,107.0,192.2,0.8695
1,4,person,1141.4,950.7,102.8,128.2,0.8485
1,5,person,1138.6,505.7,73.1,149.8,0.8036
1,6,person,750.7,451.8,71.9,170.2,0.7774
1,7,person,1445.5,319.8,70.1,165.5,0.7735
1,8,person,259.9,439.2,73.7,171.1,0.7643
1,9,person,1463.5,472.1,79.1,170.6,0.7559
1,10,person,928.5,173.8,58.0,132.9,0.6792
1,11,person,568.6,271.5,59.7,140.5,0.6618
1,12,person,706.6,239.5,62.1,150.4,0.6522
1,13,person,95.9,137.6,49.9,114.2,0.5749
1,14,person,1791.9,144.3,58.1,131.1,0.5722
1,15,person,343.6,496.3,55.8,146.7,0.5460
1,16,person,382.1,514.2,72.3,158.2,0.5456
1,17,person,1166.1,151.2,42.8,129.3,0.4989
1,18,person,1693.1,152.2,55.9,131.1,0.4729
1,19,person,1855.2,734.4,64.2,110.1,0.4513
1,20,person,1203.9,129.4,49.7,137.4,0.4425
1,21,person,414.5,493.5,100.5,152.4,0.4355
1,22,person,990.6,101.6,49.3,134.1,0.4077
1,23,person,1388.2,54.0,34.2,132.1,0.4006
1,24,person,201.1,43.7,67.4,119.9,0.3983
1,25,person,798.4,79.6,50.1,126.2,0.3957
1,26,handbag,1463.0,496.6,52.0,82.2,0.3471
1,27,person,1091.7,44.8,41.9,102.6,0.3233
1,28,handbag,1676.1,209.0,28.9,38.5,0.3187
1,29,person,570.9,203.7,47.1,90.8,0.3156
1,30,handbag,982.7,150.1,38.4,42.9,0.2799
1,31,person,889.0,90.1,44.8,125.2,0.2679
1,32,frisbee,1731.4,514.3,44.2,21.9,0.2608
1,33,person,358.6,24.8,46.7,117.6,0.2565
2,1,person,667.9,642.7,78.1,201.9,0.8824
2,2,person,1404.4,704.8,114.4,184.6,0.8789
2,3,person,37.3,799.8,105.5,189.5,0.8881
2,4,person,1137.5,940.8,108.9,135.9,0.7666
2,5,person,1137.8,501.1,73.4,150.5,0.7497
2,6,person,752.8,446.8,72.8,172.7,0.8101
2,7,person,1450.1,322.7,68.9,162.8,0.7720
2,8,person,257.8,442.4,71.9,166.8,0.7484
2,9,person,1465.9,477.2,79.2,170.8,0.7778
2,10,person,927.5,176.5,60.1,137.7,0.6595
2,11,person,569.7,275.1,59.9,141.1,0.7397
2,12,person,707.7,234.1,59.9,145.2,0.6002
2,13,person,95.3,134.4,51.0,116.6,0.5886
2,14,person,1793.2,147.7,58.0,130.8,0.4309
2,15,person,345.0,495.9,55.7,146.4,0.5278
2,16,person,384.0,514.1,72.0,157.7,0.5150
2,17,person,1166.6,149.8,43.7,132.2,0.4582
2,18,person,1693.8,155.1,58.2,136.8,0.3524
2,19,person,1852.9,726.6,67.1,117.1,0.5987
2,20,person,1204.5,125.9,48.5,133.8,0.4012
2,21,person,414.1,492.0,100.0,151.7,0.4246
2,22,person,990.9,102.7,48.6,132.0,0.4145
2,23,person,1388.9,55.0,33.9,130.7,0.3298
2,24,person,204.8,40.4,65.8,117.2,0.4341
2,25,person,799.8,77.4,49.9,125.6,0.4444
2,26,person,1092.2,47.5,42.2,103.3,0.3219
2,27,person,572.8,205.1,45.7,87.9,0.4217
2,28,handbag,982.1,147.7,40.8,45.6,0.2827
2,29,person,890.4,88.4,45.3,127.0,0.2736
2,30,person,361.1,22.6,45.9,115.8,0.2518
3,1,person,670.3,637.4,76.7,198.1,0.8570
3,2,person,1401.7,705.0,114.5,184.4,0.8776
3,3,person,38.8,801.1,105.1,188.7,0.8754
3,4,person,1135.9,937.0,112.5,140.9,0.7823
3,5,person,1138.3,497.2,72.8,149.2,0.7733
3,6,person,753.9,443.4,72.2,171.3,0.7878
3,7,person,1452.7,323.8,68.0,160.7,0.7812
3,8,person,256.3,442.9,71.6,166.1,0.7541
3,9,person,1468.2,481.3,77.7,167.8,0.7786
3,10,person,927.2,177.9,60.7,139.0,0.6783
3,11,person,569.9,275.8,59.9,140.9,0.8183
3,12,person,708.4,230.7,58.7,142.5,0.6529
3,13,person,95.2,133.9,51.0,116.8,0.5819
3,14,person,1794.2,151.3,56.8,128.1,0.4179
3,15,person,345.9,495.7,55.7,146.1,0.5452
3,16,person,383.8,510.8,73.7,161.6,0.5362
3,17,person,1167.2,148.3,44.2,133.8,0.5524
3,18,person,1693.7,154.5,60.2,141.7,0.2864
3,19,person,1850.6,720.4,69.4,123.7,0.5747
3,20,person,1204.4,124.8,47.9,132.0,0.4470
3,21,person,414.6,491.5,99.8,151.6,0.4084
3,22,person,989.1,103.5,49.2,133.4,0.3690
3,23,person,1389.2,56.8,33.4,128.6,0.2634
3,24,person,207.0,37.9,64.5,115.1,0.4128
3,25,person,800.6,76.7,49.8,125.2,0.3869
3,26,person,1092.3,49.4,42.8,104.8,0.2665
3,27,person,572.7,206.9,46.4,89.3,0.5588
3,28,person,893.3,88.8,44.8,125.6,0.2732
4,1,person,672.2,631.3,74.8,193.2,0.8554
4,2,person,1399.0,704.6,114.6,184.3,0.8490
4,3,person,40.2,802.9,104.2,187.0,0.8750
4,4,person,1134.0,931.5,116.8,147.0,0.7747
4,5,person,1139.0,494.5,71.2,145.7,0.7583
4,6,person,755.5,439.3,70.7,167.9,0.7487
4,7,person,1454.5,325.5,67.4,158.9,0.7444
4,8,person,255.1,444.7,70.8,164.1,0.7347
4,9,person,1469.6,482.9,76.9,166.1,0.7620
4,10,person,926.7,180.3,60.1,137.8,0.5687
4,11,person,570.6,276.0,59.8,140.8,0.6944
4,12,person,709.3,227.9,58.4,141.9,0.5698
4,13,person,95.5,134.7,50.6,115.8,0.5305
4,14,person,1794.0,153.1,57.3,129.1,0.4210
4,15,person,346.2,495.2,55.8,145.9,0.5387
4,16,person,384.2,511.2,73.2,160.9,0.5205
4,17,person,1167.6,145.6,44.3,134.4,0.4407
4,18,person,1695.4,157.8,60.0,141.1,0.2888
4,19,person,1849.6,717.0,70.4,127.4,0.5460
4,20,person,1203.7,122.5,48.2,132.7,0.3724
4,21,person,415.5,492.3,99.7,151.7,0.3253
4,22,person,989.4,104.2,50.5,137.0,0.3341
4,23,person,1389.0,55.5,33.6,129.2,0.2739
4,24,person,208.3,35.0,64.3,115.3,0.4330
4,25,person,801.2,76.6,49.5,124.1,0.4174
4,26,person,1092.3,50.7,43.1,105.6,0.2646
4,27,person,572.8,207.7,46.9,90.2,0.3641
4,28,handbag,1473.2,529.6,50.7,61.7,0.4347
5,1,person,674.0,625.7,72.4,186.7,0.8461
5,2,person,1395.9,704.9,114.6,183.8,0.8651
5,3,person,40.7,803.3,104.0,186.3,0.8686
5,4,person,1132.0,926.0,120.0,152.1,0.7990
