frame_no,detection_no,class,x,y,width,height,confidence
1,1,person,97,69,490,409,0.9428
1,2,person,537,259,102,219,0.5082
2,1,person,97,68,487,410,0.9497
2,2,person,536,226,103,252,0.8401
2,3,tie,278,383,73,96,0.2875
3,1,person,98,66,488,412,0.9429
3,2,person,536,257,102,221,0.6676
4,1,person,98,67,486,411,0.9471
4,2,tie,280,392,73,86,0.3226
5,1,person,97,68,488,410,0.9429
5,2,person,537,260,102,217,0.4892
5,3,tie,281,383,73,95,0.3108
6,1,person,99,68,487,410,0.9468
6,2,person,535,219,103,259,0.8486
7,1,person,99,68,483,410,0.9395
7,2,person,535,221,104,257,0.8752
7,3,tie,281,385,75,93,0.4836
8,1,person,99,68,486,411,0.9420
8,2,person,534,259,105,219,0.4283
8,3,tie,282,385,72,94,0.4177
9,1,person,100,69,484,410,0.9389
10,1,person,98,69,485,410,0.9417
10,2,tie,280,379,77,100,0.4349
10,3,backpack,538,262,101,216,0.2924
11,1,person,100,68,485,410,0.9449
11,2,person,548,263,90,215,0.2800
12,1,person,100,67,488,411,0.9401
12,2,person,535,257,103,221,0.7020
12,3,tie,284,372,75,106,0.5509
13,1,person,100,67,489,411,0.9418
13,2,person,537,257,102,221,0.6954
13,3,tie,284,373,77,106,0.4572
14,1,person,99,67,488,411,0.9418
14,2,person,535,258,104,220,0.6758
15,1,person,100,67,487,411,0.9433
15,2,person,535,257,104,221,0.7873
16,1,person,100,68,487,411,0.9421
16,2,person,537,261,101,216,0.5433
17,1,person,100,67,487,411,0.9393
17,2,person,537,261,102,217,0.4604
17,3,tie,287,371,75,107,0.3068
18,1,person,89,63,501,415,0.9325
18,2,person,537,262,101,216,0.3652
19,1,person,63,64,520,414,0.9425
19,2,person,537,263,102,215,0.5988
20,1,person,71,69,505,410,0.9443
20,2,person,525,261,113,218,0.8495
21,1,person,49,53,581,425,0.9442
21,2,person,542,264,96,214,0.6110
22,1,person,91,48,546,430,0.9472
22,2,person,546,259,92,218,0.6830
23,1,person,94,48,543,430,0.9457
23,2,person,546,261,93,216,0.5904
24,1,person,6,48,632,431,0.9408
24,2,cell phone,44,194,113,216,0.8874
24,3,person,545,259,94,218,0.6968
25,1,person,2,47,635,431,0.9570
25,2,cell phone,36,184,114,222,0.8627
25,3,person,545,262,94,215,0.6180
26,1,person,3,47,633,432,0.9575
26,2,cell phone,42,179,109,222,0.8849
26,3,person,546,266,93,211,0.5383
27,1,person,2,47,634,431,0.9489
27,2,cell phone,40,178,107,222,0.8528
27,3,person,545,265,93,213,0.6483
28,1,person,3,47,634,432,0.9493
28,2,cell phone,40,178,111,226,0.8224
28,3,person,545,265,93,212,0.5651
29,1,person,2,47,635,431,0.9568
29,2,cell phone,38,179,109,224,0.8516
29,3,person,546,263,93,214,0.7099
30,1,person,3,47,635,432,0.9082
30,2,cell phone,0,226,98,225,0.8295
30,3,person,545,265,93,212,0.5832
31,1,person,90,49,547,430,0.9498
31,2,person,546,261,92,216,0.6437
32,1,person,94,48,543,430,0.9507
32,2,person,546,261,93,216,0.6840
33,1,person,93,49,544,430,0.9483
33,2,person,545,261,93,216,0.4651
34,1,person,94,49,542,429,0.9499
34,2,backpack,546,264,93,214,0.3147
34,3,person,546,262,93,215,0.2997
35,1,person,94,50,542,429,0.9482
35,2,person,546,260,92,217,0.5456
36,1,person,94,50,543,429,0.9440
36,2,person,546,260,92,217,0.3028
37,1,person,99,49,538,429,0.9531
37,2,person,546,259,93,218,0.7335
38,1,person,99,49,536,429,0.9475
38,2,person,545,262,93,215,0.6274
39,1,person,100,49,538,429,0.9483
39,2,person,545,258,93,218,0.3949
40,1,person,100,50,537,429,0.9495
40,2,person,547,260,91,218,0.6525
41,1,person,99,49,538,429,0.9459
41,2,person,546,262,93,216,0.4605
42,1,person,100,50,536,429,0.9541
42,2,person,546,260,93,217,0.4586
43,1,person,100,51,536,427,0.9514
43,2,person,546,260,93,217,0.5252
44,1,person,66,51,570,428,0.9503
44,2,person,546,260,93,216,0.6527
