frame_no,detection_no,class,x,y,width,height,confidence
1,1,person,12.0,145.4,507.8,334.1,0.8545
2,1,person,11.8,149.4,502.6,330.4,0.9013
3,1,person,13.8,148.0,504.4,331.6,0.8927
3,2,chair,76.8,328.3,99.6,97.7,0.5523
4,1,person,14.0,149.9,502.2,329.9,0.9155
4,2,chair,73.9,328.7,103.6,101.6,0.5665
5,1,person,11.6,148.4,504.7,331.2,0.8920
5,2,chair,72.9,328.7,104.3,102.4,0.5437
6,1,person,10.6,149.7,503.8,330.0,0.8975
6,2,chair,76.4,328.8,100.1,98.1,0.3840
7,1,person,10.8,150.1,504.0,329.6,0.8948
7,2,chair,75.3,328.7,102.3,100.2,0.5753
8,1,person,12.0,148.2,506.7,331.3,0.8935
8,2,chair,74.9,328.7,102.8,100.6,0.5715
9,1,person,10.6,147.3,508.4,332.2,0.8821
9,2,chair,75.3,328.3,102.5,100.4,0.6281
10,1,person,9.7,148.9,507.2,330.9,0.8876
10,2,chair,73.5,328.5,105.2,103.1,0.5448
11,1,person,7.5,147.9,509.2,331.7,0.8852
11,2,chair,72.6,328.5,106.4,104.5,0.5948
12,1,person,9.5,148.9,508.5,330.9,0.8906
12,2,chair,72.3,328.3,106.9,105.1,0.5229
13,1,person,8.5,149.3,508.8,330.5,0.8930
13,2,chair,72.4,328.3,106.9,105.2,0.4833
14,1,person,8.9,149.7,509.2,330.1,0.9023
14,2,chair,72.9,328.4,106.4,104.8,0.5151
15,1,person,10.6,148.4,510.7,331.2,0.8959
15,2,chair,71.8,328.4,107.4,106.0,0.4375
16,1,person,11.8,149.6,509.5,330.1,0.8956
16,2,chair,71.8,328.5,108.7,107.2,0.4588
17,1,person,13.4,150.4,508.6,329.4,0.8973
17,2,chair,72.0,328.3,109.0,107.6,0.4004
18,1,person,13.8,150.7,508.2,329.1,0.8993
18,2,chair,71.1,328.5,111.4,110.2,0.5096
19,1,person,12.5,151.1,508.1,328.7,0.8825
19,2,chair,70.1,328.5,112.6,111.8,0.4289
20,1,person,13.5,151.0,508.5,328.8,0.8759
